4.000000e+00 1.772852e+00
1.200000e+01 2.928036e-01
2.000000e+01 1.086914e-01
2.800000e+01 4.757427e-02
3.600000e+01 2.606434e-02
4.400000e+01 1.232660e-02
5.200000e+01 7.716526e-03
6.000000e+01 4.039253e-03
6.800000e+01 1.891168e-03
7.600000e+01 1.008635e-03
8.400000e+01 4.597798e-04
9.200000e+01 1.307197e-03
1.000000e+02 1.069021e-03
1.080000e+02 7.648174e-04
1.160000e+02 2.797647e-04
1.240000e+02 -1.973656e-04
1.320000e+02 -4.988405e-04
1.400000e+02 -7.290473e-04
1.480000e+02 -5.179719e-04
1.560000e+02 -3.046636e-04
1.640000e+02 3.549570e-04
1.720000e+02 7.893451e-05
1.800000e+02 7.327252e-05
1.880000e+02 -2.220655e-04
1.960000e+02 2.365095e-04
