     2881389 CATALPTCICz0.638G960S1005638091_zspace.parabola.sigma0.0.dat
     2880356 CATALPTCICz0.638G960S1010008301_zspace.parabola.sigma0.0.dat
     2881310 CATALPTCICz0.638G960S1016650678_zspace.parabola.sigma0.0.dat
     2880301 CATALPTCICz0.638G960S1019876248_zspace.parabola.sigma0.0.dat
     2881088 CATALPTCICz0.638G960S1023560380_zspace.parabola.sigma0.0.dat
     2881149 CATALPTCICz0.638G960S1028968541_zspace.parabola.sigma0.0.dat
     2879186 CATALPTCICz0.638G960S1029148515_zspace.parabola.sigma0.0.dat
     2879926 CATALPTCICz0.638G960S1036580043_zspace.parabola.sigma0.0.dat
     2881384 CATALPTCICz0.638G960S1038702849_zspace.parabola.sigma0.0.dat
     2881159 CATALPTCICz0.638G960S1043428010_zspace.parabola.sigma0.0.dat
     2878991 CATALPTCICz0.638G960S1043834222_zspace.parabola.sigma0.0.dat
     2879888 CATALPTCICz0.638G960S1047385959_zspace.parabola.sigma0.0.dat
     2881229 CATALPTCICz0.638G960S1052114297_zspace.parabola.sigma0.0.dat
     2880571 CATALPTCICz0.638G960S1057271749_zspace.parabola.sigma0.0.dat
     2881352 CATALPTCICz0.638G960S1067749740_zspace.parabola.sigma0.0.dat
     2881267 CATALPTCICz0.638G960S1070802123_zspace.parabola.sigma0.0.dat
     2880923 CATALPTCICz0.638G960S1072910539_zspace.parabola.sigma0.0.dat
     2880026 CATALPTCICz0.638G960S1076873484_zspace.parabola.sigma0.0.dat
     2880969 CATALPTCICz0.638G960S1079655868_zspace.parabola.sigma0.0.dat
     2878952 CATALPTCICz0.638G960S1082345827_zspace.parabola.sigma0.0.dat
     2880294 CATALPTCICz0.638G960S1089996733_zspace.parabola.sigma0.0.dat
     2881355 CATALPTCICz0.638G960S1090208157_zspace.parabola.sigma0.0.dat
     2880980 CATALPTCICz0.638G960S1090249413_zspace.parabola.sigma0.0.dat
     2881278 CATALPTCICz0.638G960S109224375_zspace.parabola.sigma0.0.dat
     2880745 CATALPTCICz0.638G960S1093443331_zspace.parabola.sigma0.0.dat
     2877732 CATALPTCICz0.638G960S110218404_zspace.parabola.sigma0.0.dat
