9.380000000000000000e+02 1.011000000000000000e+03 8.960000000000000000e+02 1.075000000000000000e+03 9.110000000000000000e+02 8.810000000000000000e+02 8.550000000000000000e+02 7.770000000000000000e+02 1.013000000000000000e+03 9.560000000000000000e+02
3.070000000000000000e+03 2.515000000000000000e+03 2.981000000000000000e+03 3.173000000000000000e+03 2.583000000000000000e+03 2.935000000000000000e+03 2.756000000000000000e+03 2.859000000000000000e+03 2.993000000000000000e+03 2.686000000000000000e+03
4.871000000000000000e+03 4.440000000000000000e+03 5.057000000000000000e+03 5.075000000000000000e+03 4.679000000000000000e+03 4.852000000000000000e+03 4.744000000000000000e+03 4.743000000000000000e+03 5.179000000000000000e+03 4.686000000000000000e+03
6.539000000000000000e+03 6.607000000000000000e+03 7.175000000000000000e+03 7.482000000000000000e+03 6.632000000000000000e+03 6.764000000000000000e+03 6.326000000000000000e+03 6.674000000000000000e+03 7.075000000000000000e+03 6.882000000000000000e+03
8.787000000000000000e+03 8.689000000000000000e+03 9.259000000000000000e+03 9.041000000000000000e+03 8.456000000000000000e+03 8.457000000000000000e+03 8.738000000000000000e+03 8.835000000000000000e+03 9.297000000000000000e+03 8.863000000000000000e+03
1.077000000000000000e+04 1.090100000000000000e+04 1.091500000000000000e+04 1.046300000000000000e+04 1.034000000000000000e+04 1.072600000000000000e+04 1.067900000000000000e+04 1.048900000000000000e+04 1.131400000000000000e+04 1.089100000000000000e+04
1.310700000000000000e+04 1.288300000000000000e+04 1.248200000000000000e+04 1.248900000000000000e+04 1.249500000000000000e+04 1.249700000000000000e+04 1.201300000000000000e+04 1.257600000000000000e+04 1.249900000000000000e+04 1.236400000000000000e+04
1.504500000000000000e+04 1.443600000000000000e+04 1.424800000000000000e+04 1.480200000000000000e+04 1.464300000000000000e+04 1.431000000000000000e+04 1.381800000000000000e+04 1.448500000000000000e+04 1.454100000000000000e+04 1.400800000000000000e+04
1.678900000000000000e+04 1.719600000000000000e+04 1.630700000000000000e+04 1.708000000000000000e+04 1.726700000000000000e+04 1.607800000000000000e+04 1.637800000000000000e+04 1.690500000000000000e+04 1.681000000000000000e+04 1.615600000000000000e+04
1.841100000000000000e+04 1.905800000000000000e+04 1.858400000000000000e+04 1.856400000000000000e+04 1.897600000000000000e+04 1.817700000000000000e+04 1.796500000000000000e+04 1.884400000000000000e+04 1.888500000000000000e+04 1.815100000000000000e+04
