Nested Sampling Global Log-Evidence           :   -0.121747229793283651E+02  +/-    0.892958071723096852E-01
Nested Importance Sampling Global Log-Evidence:   -0.120786253420107155E+02  +/-    0.101521291044241915E+00

Dim No.       Mean        Sigma
   1    0.100399055315880092E+01    0.932826914846422023E-02
   2    0.747054699071799777E+00    0.195544647183039100E+00
   3    0.942652682654494889E+01    0.164013370168282813E+01
   4    0.320687892191793082E+03    0.261025125587557170E+03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100467954200493947E+01
   2    0.883865306227588077E+00
   3    0.856588938215092632E+01
   4    0.114263761233626383E+03

MAP Parameters
Dim No.        Parameter
   1    0.996954628834059831E+00
   2    0.444276598139418000E+00
   3    0.954997933456190395E+01
   4    0.917190800725939425E+03
