     3542785 CATALPTCICz0.466G960S1005638091_zspace.radialgauss.sigma0.235.dat
     3536550 CATALPTCICz0.466G960S1010008301_zspace.radialgauss.sigma0.235.dat
     3544386 CATALPTCICz0.466G960S1016650678_zspace.radialgauss.sigma0.235.dat
     3545179 CATALPTCICz0.466G960S1019876248_zspace.radialgauss.sigma0.235.dat
     3540856 CATALPTCICz0.466G960S1023560380_zspace.radialgauss.sigma0.235.dat
     3537093 CATALPTCICz0.466G960S1028968541_zspace.radialgauss.sigma0.235.dat
     3540886 CATALPTCICz0.466G960S1029148515_zspace.radialgauss.sigma0.235.dat
     3534522 CATALPTCICz0.466G960S1036580043_zspace.radialgauss.sigma0.235.dat
     3532204 CATALPTCICz0.466G960S1038702849_zspace.radialgauss.sigma0.235.dat
     3544109 CATALPTCICz0.466G960S1043428010_zspace.radialgauss.sigma0.235.dat
     3539436 CATALPTCICz0.466G960S1043834222_zspace.radialgauss.sigma0.235.dat
     3539117 CATALPTCICz0.466G960S1047385959_zspace.radialgauss.sigma0.235.dat
     3531182 CATALPTCICz0.466G960S1052114297_zspace.radialgauss.sigma0.235.dat
     3541719 CATALPTCICz0.466G960S1057271749_zspace.radialgauss.sigma0.235.dat
     3544717 CATALPTCICz0.466G960S1067749740_zspace.radialgauss.sigma0.235.dat
     3537309 CATALPTCICz0.466G960S1070802123_zspace.radialgauss.sigma0.235.dat
     3539361 CATALPTCICz0.466G960S1072910539_zspace.radialgauss.sigma0.235.dat
     3540087 CATALPTCICz0.466G960S1076873484_zspace.radialgauss.sigma0.235.dat
     3539763 CATALPTCICz0.466G960S1079655868_zspace.radialgauss.sigma0.235.dat
     3536584 CATALPTCICz0.466G960S1082345827_zspace.radialgauss.sigma0.235.dat
     3535139 CATALPTCICz0.466G960S1089996733_zspace.radialgauss.sigma0.235.dat
     3540779 CATALPTCICz0.466G960S1090208157_zspace.radialgauss.sigma0.235.dat
