0.000 279.508 0.000 279.508 0.688
0.000 279.508 279.508 559.017 0.718
0.000 279.508 559.017 838.525 0.692
0.000 279.508 838.525 1118.034 0.793
0.000 279.508 1118.034 1397.542 0.747
0.000 279.508 1397.542 1677.051 0.752
0.000 279.508 1677.051 1956.559 0.752
0.000 279.508 1956.559 2236.068 0.671
0.000 279.508 2236.068 2515.576 0.588
279.508 559.017 0.000 279.508 0.679
279.508 559.017 279.508 559.017 0.891
279.508 559.017 559.017 838.525 0.866
279.508 559.017 838.525 1118.034 0.836
279.508 559.017 1118.034 1397.542 0.796
279.508 559.017 1397.542 1677.051 0.963
279.508 559.017 1677.051 1956.559 0.797
279.508 559.017 1956.559 2236.068 0.779
279.508 559.017 2236.068 2515.576 0.708
559.017 838.525 0.000 279.508 0.818
559.017 838.525 279.508 559.017 0.820
559.017 838.525 559.017 838.525 0.896
559.017 838.525 838.525 1118.034 0.906
559.017 838.525 1118.034 1397.542 0.879
559.017 838.525 1397.542 1677.051 0.906
559.017 838.525 1677.051 1956.559 0.942
559.017 838.525 1956.559 2236.068 0.704
559.017 838.525 2236.068 2515.576 0.744
838.525 1118.034 0.000 279.508 0.781
838.525 1118.034 279.508 559.017 0.874
838.525 1118.034 559.017 838.525 0.916
838.525 1118.034 838.525 1118.034 0.994
838.525 1118.034 1118.034 1397.542 0.901
838.525 1118.034 1397.542 1677.051 0.858
838.525 1118.034 1677.051 1956.559 0.880
838.525 1118.034 1956.559 2236.068 0.895
838.525 1118.034 2236.068 2515.576 0.749
1118.034 1397.542 0.000 279.508 0.774
1118.034 1397.542 279.508 559.017 0.844
1118.034 1397.542 559.017 838.525 0.922
1118.034 1397.542 838.525 1118.034 0.915
1118.034 1397.542 1118.034 1397.542 0.949
1118.034 1397.542 1397.542 1677.051 0.937
1118.034 1397.542 1677.051 1956.559 0.860
1118.034 1397.542 1956.559 2236.068 0.880
1118.034 1397.542 2236.068 2515.576 0.772
1397.542 1677.051 0.000 279.508 0.715
1397.542 1677.051 279.508 559.017 0.919
1397.542 1677.051 559.017 838.525 0.861
1397.542 1677.051 838.525 1118.034 0.871
1397.542 1677.051 1118.034 1397.542 0.965
1397.542 1677.051 1397.542 1677.051 0.974
1397.542 1677.051 1677.051 1956.559 0.966
1397.542 1677.051 1956.559 2236.068 0.893
1397.542 1677.051 2236.068 2515.576 0.721
1677.051 1956.559 0.000 279.508 0.798
1677.051 1956.559 279.508 559.017 0.850
1677.051 1956.559 559.017 838.525 0.925
1677.051 1956.559 838.525 1118.034 0.837
1677.051 1956.559 1118.034 1397.542 0.930
1677.051 1956.559 1397.542 1677.051 0.892
1677.051 1956.559 1677.051 1956.559 0.964
1677.051 1956.559 1956.559 2236.068 0.849
1677.051 1956.559 2236.068 2515.576 0.673
1956.559 2236.068 0.000 279.508 0.671
1956.559 2236.068 279.508 559.017 0.718
1956.559 2236.068 559.017 838.525 0.801
1956.559 2236.068 838.525 1118.034 0.925
1956.559 2236.068 1118.034 1397.542 0.869
1956.559 2236.068 1397.542 1677.051 0.916
1956.559 2236.068 1677.051 1956.559 0.780
1956.559 2236.068 1956.559 2236.068 0.718
1956.559 2236.068 2236.068 2515.576 0.677
2236.068 2515.576 0.000 279.508 0.584
2236.068 2515.576 279.508 559.017 0.619
2236.068 2515.576 559.017 838.525 0.776
2236.068 2515.576 838.525 1118.034 0.743
2236.068 2515.576 1118.034 1397.542 0.803
2236.068 2515.576 1397.542 1677.051 0.742
2236.068 2515.576 1677.051 1956.559 0.800
2236.068 2515.576 1956.559 2236.068 0.728
2236.068 2515.576 2236.068 2515.576 0.604
