    0.999427656851328061E+00    0.768672785185497309E+00    0.320941065835551687E+01   -0.120648481041102222E+02
    0.992766593695520561E+00    0.111188151634238586E+01    0.703644462769835233E+01   -0.119258326753464541E+02
    0.990729943249146094E+00    0.724200241126711108E+00    0.358395098907591070E+01   -0.109876846646818862E+02
    0.100470520238452155E+01    0.744467489778552705E+00    0.434382987531141307E+01   -0.100918334265251328E+02
    0.972557130717607299E+00    0.103791357220488911E+01    0.861899210054729181E+01   -0.992310996816078728E+01
    0.100383231140612006E+01    0.116540764322632628E+01    0.982707976591392196E+01   -0.939511903352796018E+01
    0.992137129988522770E+00    0.922222123622771339E+00    0.877951287834358141E+01   -0.938104890958797988E+01
    0.100688745862835871E+01    0.110251058317241579E+01    0.738778342487778605E+01   -0.932509981268823118E+01
    0.989681642127766770E+00    0.885956384070478609E+00    0.831411084413624657E+01   -0.924887178184090075E+01
    0.974761937829697445E+00    0.105310467991730383E+01    0.814341080479979951E+01   -0.923165113448911434E+01
    0.101387426865389152E+01    0.106144729390222836E+01    0.832262356949317983E+01   -0.911160425163280330E+01
    0.979680725276791176E+00    0.101623778576625878E+01    0.938878129129413530E+01   -0.907371040964396336E+01
    0.972974238625398336E+00    0.950536571073662073E+00    0.739376448480205273E+01   -0.906382131216721199E+01
    0.998514534298953538E+00    0.104091180326388577E+01    0.967183678103850220E+01   -0.903110678904001318E+01
    0.101381010357618062E+01    0.101884877579651323E+01    0.830473586215829584E+01   -0.899790752270044969E+01
    0.101266730845336039E+01    0.956304970530038156E+00    0.802732341722879639E+01   -0.892187252550880494E+01
    0.100067779971426507E+01    0.114332795840727708E+01    0.998195098454880281E+01   -0.889979726960091710E+01
    0.101202278567934423E+01    0.854325757658370266E+00    0.511443484687646599E+01   -0.884236385607393949E+01
    0.100855628777985973E+01    0.813505765451737584E+00    0.463551010726850166E+01   -0.867199999612782157E+01
    0.987311075060067878E+00    0.111256470890325643E+01    0.766069379278260065E+01   -0.853914531345680672E+01
